Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0014924,-3.6009E-07,0.0071665,0,0,0,0.26633,0.001015,-1.6437E-08,2.8422E-06,0.00087826,-1.5352E-09,0.0009477,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/base_link.STL,,机械臂连接件-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,1.3342E-15,-1.4314E-16,-0.045037,0,0,0,0.13934,0.00027154,-1.0009E-19,1.8873E-20,0.00027154,2.3247E-20,0.0002872,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link1.STL,1,1,1,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link1.STL,,Assem1-1/机械臂第一关节-1,Origin_joint1,Axis1,joint1,revolute,0,0.155,0,-1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link2,7.166E-06,-0.048549,-0.0068856,0,0,0,0.18506,0.00057474,1.582E-08,1.5257E-08,0.00030975,2.2393E-05,0.00060015,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link2.STL,,Assem1-1/W6-1-1,Origin_joint2,Axis2,joint2,revolute,0,-0.00035,0.11922,1.5708,0,0,Empty_Link1,0,0,-1,0,0,0,0,,,,,,,,
Empty_Link3,5.8184E-05,-0.016095,-0.091281,0,0,0,0.17747,0.00082408,-1.8121E-07,3.8226E-07,0.00083188,-0.00014581,0.00032099,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link3.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link3.STL,,Assem1-1/W1-1,Origin_joint3,Axis3,joint3,revolute,0,0.15914,-0.00045174,-1.5708,0,0,Empty_Link2,0,0,1,0,0,0,0,,,,,,,,
Empty_Link4,-2.34690957390065E-05,0.0530429982897136,-0.0344936012786148,0,0,0,0.16192408835113,0.000592553537026838,1.24920714247319E-07,-2.56857673520256E-08,0.000284690856489502,-1.56663424512197E-05,0.000621255050385904,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link4.STL,,Assem1-1/W2-2-2,Origin_joint4,Axis4,joint4,revolute,-0.00021415,0.027937,0.141,-1.5708,0,0,Empty_Link3,0,0,1,0,0,0,0,,,,,,,,
Empty_Link5,1.04535537986443E-05,0.0186156117776231,-0.0808695350497136,0,0,0,0.168807323609659,0.000595652486887033,-1.15153474040901E-08,3.52118443057937E-08,0.000609012231195647,0.000119225841892786,0.000286029197228179,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link5.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link5.STL,,Assem1-1/W4-2,Origin_joint5,Axis5,joint5,revolute,0,-0.13261,-0.028113,1.5708,0,0,Empty_Link4,0,0,1,0,0,0,0,,,,,,,,
Empty_Link6,-5.37742704261599E-06,-0.0294879271262189,-0.0050268422920796,0,0,0,0.117396065677008,0.000223870432302695,7.95027783487269E-09,-5.72128501019399E-09,0.000157599697987618,-2.17977047320675E-06,0.000247478280617227,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link6.STL,,Assem1-1/W3-1-1,Origin_joint6,Axis6,joint6,revolute,0,0.00015973,0.0874,1.5708,0,0,Empty_Link5,0,0,1,0,0,0,0,,,,,,,,
Empty_Link7,-3.59625462130323E-05,-0.0148085138766828,-0.0803302114956457,0,0,0,0.142755944866628,0.000464416842224509,-1.13125801258198E-07,-2.41633988960636E-07,0.000477322772947618,-8.04893326122221E-05,0.000208248311212371,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link7.STL,0.207843137254902,0.376470588235294,0.568627450980392,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link7.STL,,Assem1-1/W7-2-1,Origin_joint7,Axis7,joint7,revolute,0,0.13012,6.068E-05,-1.5708,0,0,Empty_Link6,0,0,1,0,0,0,0,,,,,,,,
Empty_Link8,1.49721899678073E-17,1.21212098202637E-17,-0.0450366643520861,0,0,0,0.139340614702608,0.000271543617515806,0,3.28941289409917E-20,0.000271543617515806,-1.90269046791232E-20,0.000287198405303248,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link8.STL,1,1,1,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link8.STL,,Assem1-2/机械臂第一关节-1,Origin_joint8,Axis8,joint8,revolute,0,-0.155,0,1.5708,1.1323,0,base_link,0,0,1,0,0,0,0,,,,,,,,
Empty_Link9,-7.16594927825932E-06,0.0485485652046426,-0.00688560464007289,0,0,0,0.185060518932336,0.000574743039604598,1.58201859118487E-08,-1.52565385581314E-08,0.000309754503746068,-2.23925932297582E-05,0.000600146186131235,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link9.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://双臂urdf模型(天磊）.SLDASM/meshes/Empty_Link9.STL,,Assem1-2/W6-1-1,Origin_joint9,Axis9,joint9,revolute,-0.00031688,0.00014862,0.11922,-1.5708,0,1.1323,Empty_Link8,0,0,-1,0,0,0,0,,,,,,,,
